key	lemma	part_of_speech	parsing	definition	strongs	alternates
α	ὅς	relative pronoun	accusative plural neuter	who, which, what, that	G3739	ὅς|relative pronoun|nominative plural neuter
ααρων	Ἀαρών	noun	genitive singular masculine	Aaron	G2	Ἀαρών|noun|dative singular masculine;Ἀαρών|noun|nominative singular masculine
αβαδδων	Ἀβαδδών	noun	nominative singular masculine	Abaddon	G3	
αβαρη	ἀβαρής	adjective	accusative singular masculine	not burdensome	G4	
αββα	αββα	noun	vocative singular masculine	Father	G5	
αβελ	Ἅβελ	noun	genitive singular masculine	Abel	G6	Ἅβελ|noun|accusative singular masculine;Ἅβελ|noun|nominative singular masculine
αβια	Ἀβιά	noun	accusative singular masculine	Abijah	G7	Ἀβιά|noun|genitive singular masculine;Ἀβιά|noun|nominative singular masculine
αβιαθαρ	Ἀβιαθάρ	noun	genitive singular masculine	Abiathar	G8	
αβιληνης	Ἀβιληνή	noun	genitive singular feminine	Abilene	G9	
αβιουδ	Ἀβιούδ	noun	accusative singular masculine	Abiud	G10	Ἀβιούδ|noun|nominative singular masculine
αβρααμ	Ἀβραάμ	noun	genitive singular masculine	Abraham	G11	Ἀβραάμ|noun|nominative singular masculine;Ἀβραάμ|noun|dative singular masculine;Ἀβραάμ|noun|accusative singular masculine
αβυσσον	ἄβυσσος	noun	accusative singular feminine	the abyss, the unfathomable depth	G12	
αβυσσου	ἄβυσσος	noun	genitive singular feminine	the abyss, the unfathomable depth	G12	
αγαβος	Ἅγαβος	noun	nominative singular masculine	Agabus	G13	
αγαγειν	ἄγω	verb	aorist active infinitive	I lead	G71	
αγαγετε	ἄγω	verb	aorist active imperative, 2nd person plural	I lead	G71	
αγαγη	ἄγω	verb	aorist active subjunctive, 3rd person singular	I lead	G71	
αγαγοντα	ἄγω	verb	aorist active participle, accusative singular masculine	I lead	G71	
αγαγοντες	ἄγω	verb	aorist active participle, nominative plural masculine	I lead	G71	
αγαθα	ἀγαθός	adjective	accusative plural neuter	good	G18	ἀγαθός|adjective|nominative plural neuter
αγαθας	ἀγαθός	adjective	accusative plural feminine	good	G18	
αγαθε	ἀγαθός	adjective	vocative singular masculine	good	G18	
αγαθη	ἀγαθός	adjective	dative singular feminine	good	G18	ἀγαθός|adjective|nominative singular feminine
αγαθην	ἀγαθός	adjective	accusative singular feminine	good	G18	
αγαθης	ἀγαθός	adjective	genitive singular feminine	good	G18	
αγαθοεργειν	ἀγαθοεργέω	verb	present active infinitive	I perform good deeds	G14	
αγαθοις	ἀγαθός	adjective	dative plural neuter	good	G18	ἀγαθός|adjective|dative plural masculine
αγαθον	ἀγαθός	adjective	accusative singular neuter	good	G18	ἀγαθός|adjective|nominative singular neuter;ἀγαθός|adjective|accusative singular masculine
αγαθοποιειτε	ἀγαθοποιέω	verb	present active imperative, 2nd person plural	I do that which is good	G15	
αγαθοποιησαι	ἀγαθοποιέω	verb	aorist active infinitive	I do that which is good	G15	
αγαθοποιητε	ἀγαθοποιέω	verb	present active subjunctive, 2nd person plural	I do that which is good	G15	
αγαθοποιια	ἀγαθοποιΐα	noun	dative singular feminine	the doing of that which is good	G16	
αγαθοποιουντας	ἀγαθοποιέω	verb	present active participle, accusative plural masculine	I do that which is good	G15	
αγαθοποιουντες	ἀγαθοποιέω	verb	present active participle, nominative plural masculine	I do that which is good	G15	
αγαθοποιουσαι	ἀγαθοποιέω	verb	present active participle, nominative plural feminine	I do that which is good	G15	
αγαθοποιων	ἀγαθοποιός	noun	genitive plural masculine	a doer of that which is good	G17	ἀγαθοποιέω|verb|present active participle, nominative singular masculine
αγαθος	ἀγαθός	adjective	nominative singular masculine	good	G18	
αγαθου	ἀγαθός	adjective	genitive singular neuter	good	G18	ἀγαθός|adjective|genitive singular masculine
αγαθουργων	ἀγαθουργέω	verb	present active participle, nominative singular masculine			
αγαθους	ἀγαθός	adjective	accusative plural masculine	good	G18	
αγαθω	ἀγαθός	adjective	dative singular neuter	good	G18	ἀγαθός|adjective|dative singular masculine
αγαθων	ἀγαθός	adjective	genitive plural neuter	good	G18	ἀγαθός|adjective|genitive plural masculine
αγαθωσυνη	ἀγαθωσύνη	noun	dative singular feminine	goodness	G19	ἀγαθωσύνη|noun|nominative singular feminine
αγαθωσυνης	ἀγαθωσύνη	noun	genitive singular feminine	goodness	G19	
αγαλλιαθηναι	ἀγαλλιάω	verb	aorist passive infinitive	I exult, am full of joy	G21	
αγαλλιασει	ἀγαλλίασις	noun	dative singular feminine	exultation, exhilaration	G20	
αγαλλιασεως	ἀγαλλίασις	noun	genitive singular feminine	exultation, exhilaration	G20	
αγαλλιασθε	ἀγαλλιάω	verb	present middle indicative, 2nd person plural	I exult, am full of joy	G21	ἀγαλλιάω|verb|present middle imperative, 2nd person plural
αγαλλιασις	ἀγαλλίασις	noun	nominative singular feminine	exultation, exhilaration	G20	
αγαλλιωμεν	ἀγαλλιάω	verb	present active subjunctive, 1st person plural	I exult, am full of joy	G21	
αγαλλιωμενοι	ἀγαλλιάω	verb	present middle participle, nominative plural masculine	I exult, am full of joy	G21	
αγαμοις	ἄγαμος	noun	dative plural masculine	unmarried	G22	
αγαμος	ἄγαμος	noun	nominative singular feminine	unmarried	G22	ἄγαμος|noun|nominative singular masculine
αγανακτειν	ἀγανακτέω	verb	present active infinitive	I am angry, am incensed	G23	
αγανακτησιν	ἀγανάκτησις	noun	accusative singular feminine	indignation	G24	
αγανακτουντες	ἀγανακτέω	verb	present active participle, nominative plural masculine	I am angry, am incensed	G23	
αγανακτων	ἀγανακτέω	verb	present active participle, nominative singular masculine	I am angry, am incensed	G23	
αγαπα	ἀγαπάω	verb	present active indicative, 3rd person singular	I love	G25	ἀγαπάω|verb|present active subjunctive, 3rd person singular
αγαπαις	ἀγάπη	noun	dative plural feminine	love	G26	
αγαπαν	ἀγαπάω	verb	present active infinitive	I love	G25	
αγαπας	ἀγαπάω	verb	present active indicative, 2nd person singular	I love	G25	
αγαπατε	ἀγαπάω	verb	present active imperative, 2nd person plural	I love	G25	ἀγαπάω|verb|present active subjunctive, 2nd person plural;ἀγαπάω|verb|present active indicative, 2nd person plural
αγαπατω	ἀγαπάω	verb	present active imperative, 3rd person singular	I love	G25	
αγαπη	ἀγάπη	noun	nominative singular feminine	love	G26	ἀγάπη|noun|dative singular feminine
αγαπηθησεται	ἀγαπάω	verb	future passive indicative, 3rd person singular	I love	G25	
αγαπην	ἀγάπη	noun	accusative singular feminine	love	G26	
αγαπης	ἀγάπη	noun	genitive singular feminine	love	G26	
αγαπησαντος	ἀγαπάω	verb	aorist active participle, genitive singular masculine	I love	G25	
αγαπησας	ἀγαπάω	verb	aorist active participle, nominative singular masculine	I love	G25	
αγαπησατε	ἀγαπάω	verb	aorist active imperative, 2nd person plural	I love	G25	
αγαπησει	ἀγαπάω	verb	future active indicative, 3rd person singular	I love	G25	
αγαπησεις	ἀγαπάω	verb	future active indicative, 2nd person singular	I love	G25	
αγαπησητε	ἀγαπάω	verb	aorist active subjunctive, 2nd person plural	I love	G25	
αγαπησω	ἀγαπάω	verb	future active indicative, 1st person singular	I love	G25	
αγαπητα	ἀγαπητός	adjective	accusative plural neuter	loved, beloved	G27	ἀγαπητός|adjective|nominative plural neuter
αγαπητε	ἀγαπητός	adjective	vocative singular masculine	loved, beloved	G27	
αγαπητην	ἀγαπητός	adjective	accusative singular feminine	loved, beloved	G27	
αγαπητοι	ἀγαπητός	adjective	vocative plural masculine	loved, beloved	G27	ἀγαπητός|adjective|nominative plural masculine
αγαπητοις	ἀγαπητός	adjective	dative plural masculine	loved, beloved	G27	
αγαπητον	ἀγαπητός	adjective	accusative singular masculine	loved, beloved	G27	ἀγαπητός|adjective|nominative singular neuter
αγαπητος	ἀγαπητός	adjective	nominative singular masculine	loved, beloved	G27	
αγαπητου	ἀγαπητός	adjective	genitive singular masculine	loved, beloved	G27	
αγαπητω	ἀγαπητός	adjective	dative singular masculine	loved, beloved	G27	ἀγαπητός|adjective|dative singular neuter
αγαπω	ἀγαπάω	verb	present active indicative, 1st person singular	I love	G25	
αγαπωμαι	ἀγαπάω	verb	present passive indicative, 1st person singular	I love	G25	
αγαπωμεν	ἀγαπάω	verb	present active subjunctive, 1st person plural	I love	G25	ἀγαπάω|verb|present active indicative, 1st person plural
αγαπων	ἀγαπάω	verb	present active participle, nominative singular masculine	I love	G25	
αγαπωντας	ἀγαπάω	verb	present active participle, accusative plural masculine	I love	G25	
αγαπωντι	ἀγαπάω	verb	present active participle, dative singular masculine	I love	G25	
αγαπωντων	ἀγαπάω	verb	present active participle, genitive plural masculine	I love	G25	
αγαπωσιν	ἀγαπάω	verb	present active participle, dative plural masculine	I love	G25	ἀγαπάω|verb|present active indicative, 3rd person plural
αγαρ	Ἁγάρ	noun	nominative singular feminine	Hagar	G28	
αγγαρευουσιν	ἀγγαρεύω	verb	present active indicative, 3rd person plural	I impress, send	G29	
αγγαρευσει	ἀγγαρεύω	verb	future active indicative, 3rd person singular	I impress, send	G29	
αγγειοις	ἀγγεῖον	noun	dative plural neuter	a vessel, flask, can	G30	
αγγελια	ἀγγελία	noun	nominative singular feminine	a message	G31	
αγγελλουσα	ἀγγέλλω	verb	present active participle, nominative singular feminine			
αγγελοι	ἄγγελος	noun	nominative plural masculine	an angel, messenger	G32	
αγγελοις	ἄγγελος	noun	dative plural masculine	an angel, messenger	G32	
αγγελον	ἄγγελος	noun	accusative singular masculine	an angel, messenger	G32	
αγγελος	ἄγγελος	noun	nominative singular masculine	an angel, messenger	G32	
αγγελου	ἄγγελος	noun	genitive singular masculine	an angel, messenger	G32	
αγγελους	ἄγγελος	noun	accusative plural masculine	an angel, messenger	G32	
αγγελω	ἄγγελος	noun	dative singular masculine	an angel, messenger	G32	
αγγελων	ἄγγελος	noun	genitive plural masculine	an angel, messenger	G32	
αγγη	ἄγγος	noun	accusative plural neuter			
αγε	ἄγω	verb	present active imperative, 2nd person singular	I lead	G71	
αγει	ἄγω	verb	present active indicative, 3rd person singular	I lead	G71	
αγειν	ἄγω	verb	present active infinitive	I lead	G71	
αγελη	ἀγέλη	noun	nominative singular feminine	a flock, herd	G34	
αγελην	ἀγέλη	noun	accusative singular feminine	a flock, herd	G34	
αγενεαλογητος	ἀγενεαλόγητος	adjective	nominative singular masculine	of unrecorded genealogy	G35	
αγενη	ἀγενής	adjective	accusative plural neuter	without family, ignoble	G36	
αγεσθαι	ἄγω	verb	present passive infinitive	I lead	G71	
αγεσθε	ἄγω	verb	present passive indicative, 2nd person plural	I lead	G71	
αγια	ἅγιος	adjective	nominative singular feminine	set apart, holy, sacred	G40	ἅγιος|adjective|accusative plural neuter;ἅγιος|adjective|nominative plural neuter;ἅγιος|adjective|dative singular feminine
αγιαζει	ἁγιάζω	verb	present active indicative, 3rd person singular	I make holy, sanctify	G37	
αγιαζεται	ἁγιάζω	verb	present passive indicative, 3rd person singular	I make holy, sanctify	G37	
αγιαζομενοι	ἁγιάζω	verb	present passive participle, nominative plural masculine	I make holy, sanctify	G37	
αγιαζομενους	ἁγιάζω	verb	present passive participle, accusative plural masculine	I make holy, sanctify	G37	
αγιαζον	ἁγιάζω	verb	present active participle, nominative singular neuter	I make holy, sanctify	G37	
αγιαζω	ἁγιάζω	verb	present active indicative, 1st person singular	I make holy, sanctify	G37	
αγιαζων	ἁγιάζω	verb	present active participle, nominative singular masculine	I make holy, sanctify	G37	
αγιαι	ἅγιος	adjective	nominative plural feminine	set apart, holy, sacred	G40	
αγιαις	ἅγιος	adjective	dative plural feminine	set apart, holy, sacred	G40	
αγιαν	ἅγιος	adjective	accusative singular feminine	set apart, holy, sacred	G40	
αγιας	ἅγιος	adjective	genitive singular feminine	set apart, holy, sacred	G40	
αγιασαι	ἁγιάζω	verb	aorist active optative, 3rd person singular	I make holy, sanctify	G37	
αγιασας	ἁγιάζω	verb	aorist active participle, nominative singular masculine	I make holy, sanctify	G37	
αγιασατε	ἁγιάζω	verb	aorist active imperative, 2nd person plural	I make holy, sanctify	G37	
αγιαση	ἁγιάζω	verb	aorist active subjunctive, 3rd person singular	I make holy, sanctify	G37	
αγιασθητω	ἁγιάζω	verb	aorist passive imperative, 3rd person singular	I make holy, sanctify	G37	
αγιασμον	ἁγιασμός	noun	accusative singular masculine	sanctification, holiness	G38	
αγιασμος	ἁγιασμός	noun	nominative singular masculine	sanctification, holiness	G38	
αγιασμω	ἁγιασμός	noun	dative singular masculine	sanctification, holiness	G38	
αγιασον	ἁγιάζω	verb	aorist active imperative, 2nd person singular	I make holy, sanctify	G37	
αγιε	ἅγιος	adjective	vocative singular masculine	set apart, holy, sacred	G40	
αγιοι	ἅγιος	adjective	nominative plural masculine	set apart, holy, sacred	G40	ἅγιος|adjective|vocative plural masculine
αγιοις	ἅγιος	adjective	dative plural masculine	set apart, holy, sacred	G40	
αγιον	ἅγιος	adjective	nominative singular neuter	set apart, holy, sacred	G40	ἅγιος|adjective|accusative singular neuter;ἅγιος|adjective|accusative singular masculine
αγιος	ἅγιος	adjective	nominative singular masculine	set apart, holy, sacred	G40	
αγιοτητι	ἁγιότης	noun	dative singular feminine	holiness	G41	
αγιοτητος	ἁγιότης	noun	genitive singular feminine	holiness	G41	
αγιου	ἅγιος	adjective	genitive singular neuter	set apart, holy, sacred	G40	ἅγιος|adjective|genitive singular masculine
αγιους	ἅγιος	adjective	accusative plural masculine	set apart, holy, sacred	G40	
αγιω	ἅγιος	adjective	dative singular neuter	set apart, holy, sacred	G40	ἅγιος|adjective|dative singular masculine
αγιων	ἅγιος	adjective	genitive plural masculine	set apart, holy, sacred	G40	ἅγιος|adjective|genitive plural neuter
αγιωσυνη	ἁγιωσύνη	noun	dative singular feminine	a holy or sanctified state	G42	
αγιωσυνην	ἁγιωσύνη	noun	accusative singular feminine	a holy or sanctified state	G42	
αγιωσυνης	ἁγιωσύνη	noun	genitive singular feminine	a holy or sanctified state	G42	
αγιωτατη	ἅγιος	adjective	dative singular feminine, superlative	set apart, holy, sacred	G40	
αγκαλας	ἀγκάλη	noun	accusative plural feminine	an arm	G43	
αγκιστρον	ἄγκιστρον	noun	accusative singular neuter	a fish-hook	G44	
αγκυραν	ἄγκυρα	noun	accusative singular feminine	an anchor	G45	
αγκυρας	ἄγκυρα	noun	accusative plural feminine	an anchor	G45	
αγνα	ἁγνός	adjective	nominative plural neuter	pure, chaste	G53	
αγνας	ἁγνός	adjective	accusative plural feminine	pure, chaste	G53	
αγναφου	ἄγναφος	adjective	genitive singular neuter	unshrunken, new	G46	
αγνεια	ἁγνεία	noun	dative singular feminine	purity, chastity	G47	
αγνη	ἁγνός	adjective	nominative singular feminine	pure, chaste	G53	
αγνην	ἁγνός	adjective	accusative singular feminine	pure, chaste	G53	
αγνιζει	ἁγνίζω	verb	present active indicative, 3rd person singular	I cleanse, purify	G48	
αγνισατε	ἁγνίζω	verb	aorist active imperative, 2nd person plural	I cleanse, purify	G48	
αγνισθεις	ἁγνίζω	verb	aorist passive participle, nominative singular masculine	I cleanse, purify	G48	
αγνισθητι	ἁγνίζω	verb	aorist passive imperative, 2nd person singular	I cleanse, purify	G48	
αγνισμου	ἁγνισμός	noun	genitive singular masculine	purification	G49	
αγνισωσιν	ἁγνίζω	verb	aorist active subjunctive, 3rd person plural	I cleanse, purify	G48	
αγνοει	ἀγνοέω	verb	present active indicative, 3rd person singular	I do not know, am ignorant of	G50	
αγνοειν	ἀγνοέω	verb	present active infinitive	I do not know, am ignorant of	G50	
αγνοειται	ἀγνοέω	verb	present passive indicative, 3rd person singular	I do not know, am ignorant of	G50	
αγνοειτε	ἀγνοέω	verb	present active indicative, 2nd person plural	I do not know, am ignorant of	G50	
αγνοηματων	ἀγνόημα	noun	genitive plural neuter	an offence committed through ignorance	G51	
αγνοησαντες	ἀγνοέω	verb	aorist active participle, nominative plural masculine	I do not know, am ignorant of	G50	
αγνοια	ἄγνοια	noun	dative singular feminine	ignorance	G52	
αγνοιαν	ἄγνοια	noun	accusative singular feminine	ignorance	G52	
αγνοιας	ἄγνοια	noun	genitive singular feminine	ignorance	G52	
αγνον	ἁγνός	adjective	accusative singular masculine	pure, chaste	G53	
αγνοουμεν	ἀγνοέω	verb	present active indicative, 1st person plural	I do not know, am ignorant of	G50	
αγνοουμενοι	ἀγνοέω	verb	present passive participle, nominative plural masculine	I do not know, am ignorant of	G50	
αγνοουμενος	ἀγνοέω	verb	present passive participle, nominative singular masculine	I do not know, am ignorant of	G50	
αγνοουντες	ἀγνοέω	verb	present active participle, nominative plural masculine	I do not know, am ignorant of	G50	
αγνοουσιν	ἀγνοέω	verb	present active participle, dative plural masculine	I do not know, am ignorant of	G50	ἀγνοέω|verb|present active indicative, 3rd person plural
αγνος	ἁγνός	adjective	nominative singular masculine	pure, chaste	G53	
αγνοτητι	ἁγνότης	noun	dative singular feminine	purity, chastity	G54	
αγνοτητος	ἁγνότης	noun	genitive singular feminine	purity, chastity	G54	
αγνους	ἁγνός	adjective	accusative plural masculine	pure, chaste	G53	
αγνοων	ἀγνοέω	verb	present active participle, nominative singular masculine	I do not know, am ignorant of	G50	
αγνως	ἁγνῶς	adverb	adverb	purely, sincerely	G55	
αγνωσιαν	ἀγνωσία	noun	accusative singular feminine	ignorance	G56	
αγνωστω	ἄγνωστος	adjective	dative singular masculine	unknown	G57	
αγομενα	ἄγω	verb	present passive participle, accusative plural neuter	I lead	G71	
αγονται	ἄγω	verb	present passive indicative, 3rd person plural	I lead	G71	
αγοντες	ἄγω	verb	present active participle, nominative plural masculine	I lead	G71	
αγορα	ἀγορά	noun	dative singular feminine	market-place	G58	
αγοραζει	ἀγοράζω	verb	present active indicative, 3rd person singular	I buy	G59	
αγοραζοντας	ἀγοράζω	verb	present active participle, accusative plural masculine	I buy	G59	
αγοραζοντες	ἀγοράζω	verb	present active participle, nominative plural masculine	I buy	G59	
αγοραιοι	ἀγοραῖος	adjective	nominative plural feminine	a lounger in the market-place	G60	
αγοραις	ἀγορά	noun	dative plural feminine	market-place	G58	
αγοραιων	ἀγοραῖος	adjective	genitive plural masculine	a lounger in the market-place	G60	
αγοραν	ἀγορά	noun	accusative singular feminine	market-place	G58	
αγορας	ἀγορά	noun	genitive singular feminine	market-place	G58	
αγορασαι	ἀγοράζω	verb	aorist active infinitive	I buy	G59	
αγορασαντα	ἀγοράζω	verb	aorist active participle, accusative singular masculine	I buy	G59	
αγορασας	ἀγοράζω	verb	aorist active participle, nominative singular masculine	I buy	G59	
αγορασατε	ἀγοράζω	verb	aorist active imperative, 2nd person plural	I buy	G59	
αγορασατω	ἀγοράζω	verb	aorist active imperative, 3rd person singular	I buy	G59	
αγορασον	ἀγοράζω	verb	aorist active imperative, 2nd person singular	I buy	G59	
αγορασωμεν	ἀγοράζω	verb	aorist active subjunctive, 1st person plural	I buy	G59	
αγορασωσιν	ἀγοράζω	verb	aorist active subjunctive, 3rd person plural	I buy	G59	
αγουσιν	ἄγω	verb	present active indicative, 3rd person plural	I lead	G71	
αγρα	ἄγρα	noun	dative singular feminine	catching, a catch	G61	
αγραμματοι	ἀγράμματος	adjective	nominative plural masculine	uneducated	G62	
αγραν	ἄγρα	noun	accusative singular feminine	catching, a catch	G61	
αγραυλουντες	ἀγραυλέω	verb	present active participle, nominative plural masculine	I spend the night in the open	G63	
αγρευσωσιν	ἀγρεύω	verb	aorist active subjunctive, 3rd person plural	I catch, capture	G64	
αγρια	ἄγριος	adjective	nominative plural neuter	wild, fierce	G66	
αγριελαιος	ἀγριέλαιος	noun	nominative singular feminine	a wild olive tree	G65	
αγριελαιου	ἀγριέλαιος	noun	genitive singular feminine	a wild olive tree	G65	
αγριον	ἄγριος	adjective	accusative singular neuter	wild, fierce	G66	ἄγριος|adjective|nominative singular neuter
αγριππα	Ἀγρίππας	noun	vocative singular masculine	Agrippa	G67	Ἀγρίππας|noun|genitive singular masculine
αγριππας	Ἀγρίππας	noun	nominative singular masculine	Agrippa	G67	
αγρον	ἀγρός	noun	accusative singular masculine	a field, the country	G68	
αγρος	ἀγρός	noun	nominative singular masculine	a field, the country	G68	
αγρου	ἀγρός	noun	genitive singular masculine	a field, the country	G68	
αγρους	ἀγρός	noun	accusative plural masculine	a field, the country	G68	
αγρυπνειτε	ἀγρυπνέω	verb	present active imperative, 2nd person plural	I am awake	G69	
αγρυπνιαις	ἀγρυπνία	noun	dative plural feminine	sleeplessness, watching	G70	
αγρυπνουντες	ἀγρυπνέω	verb	present active participle, nominative plural masculine	I am awake	G69	
αγρυπνουσιν	ἀγρυπνέω	verb	present active indicative, 3rd person plural	I am awake	G69	
αγρω	ἀγρός	noun	dative singular masculine	a field, the country	G68	
αγρων	ἀγρός	noun	genitive plural masculine	a field, the country	G68	
αγω	ἄγω	verb	present active indicative, 1st person singular	I lead	G71	
αγωγη	ἀγωγή	noun	dative singular feminine	conduct	G72	
αγωμεν	ἄγω	verb	present active subjunctive, 1st person plural	I lead	G71	
αγωνα	ἀγών	noun	accusative singular masculine	a contest	G73	
αγωνι	ἀγών	noun	dative singular masculine	a contest	G73	
αγωνια	ἀγωνία	noun	dative singular feminine	contest, agony	G74	
αγωνιζεσθε	ἀγωνίζομαι	verb	present middle imperative, 2nd person plural	I strive, contend	G75	
αγωνιζομενος	ἀγωνίζομαι	verb	present middle participle, nominative singular masculine	I strive, contend	G75	
αγωνιζου	ἀγωνίζομαι	verb	present middle imperative, 2nd person singular	I strive, contend	G75	
αγωσιν	ἄγω	verb	present active subjunctive, 3rd person plural	I lead	G71	
αδαμ	Ἀδάμ	noun	genitive singular masculine	Adam	G76	Ἀδάμ|noun|nominative singular masculine;Ἀδάμ|noun|dative singular masculine
αδαπανον	ἀδάπανος	adjective	accusative singular neuter	without expense, free	G77	
αδδι	Ἀδδί	noun	genitive singular masculine	Addi	G78	
αδελφαι	ἀδελφή	noun	nominative plural feminine	a sister	G79	
αδελφας	ἀδελφή	noun	accusative plural feminine	a sister	G79	
αδελφε	ἀδελφός	noun	vocative singular masculine	a brother	G80	
αδελφη	ἀδελφή	noun	nominative singular feminine	a sister	G79	ἀδελφή|noun|dative singular feminine
αδελφην	ἀδελφή	noun	accusative singular feminine	a sister	G79	
αδελφης	ἀδελφή	noun	genitive singular feminine	a sister	G79	
αδελφοι	ἀδελφός	noun	vocative plural masculine	a brother	G80	ἀδελφός|noun|nominative plural masculine
αδελφοις	ἀδελφός	noun	dative plural masculine	a brother	G80	
αδελφον	ἀδελφός	noun	accusative singular masculine	a brother	G80	
αδελφος	ἀδελφός	noun	nominative singular masculine	a brother	G80	
αδελφοτητα	ἀδελφότης	noun	accusative singular feminine	brotherhood	G81	
αδελφοτητι	ἀδελφότης	noun	dative singular feminine	brotherhood	G81	
αδελφου	ἀδελφός	noun	genitive singular masculine	a brother	G80	
αδελφους	ἀδελφός	noun	accusative plural masculine	a brother	G80	
αδελφω	ἀδελφός	noun	dative singular masculine	a brother	G80	
αδελφων	ἀδελφός	noun	genitive plural masculine	a brother	G80	
αδη	ᾅδης	noun	dative singular masculine	Hades	G86	
αδηλα	ἄδηλος	adjective	nominative plural neuter	unseen, not obvious	G82	
αδηλον	ἄδηλος	adjective	accusative singular feminine	unseen, not obvious	G82	
αδηλοτητι	ἀδηλότης	noun	dative singular feminine	uncertainty	G83	
αδηλως	ἀδήλως	adverb	adverb	out of sight, uncertainly	G84	
αδημονειν	ἀδημονέω	verb	present active infinitive	I am troubled, distressed	G85	
αδημονων	ἀδημονέω	verb	present active participle, nominative singular masculine	I am troubled, distressed	G85	
αδην	ᾅδης	noun	accusative singular masculine	Hades	G86	
αδης	ᾅδης	noun	nominative singular masculine	Hades	G86	
αδιακριτος	ἀδιάκριτος	adjective	nominative singular feminine	unambiguous	G87	
αδιαλειπτον	ἀδιάλειπτος	adjective	accusative singular feminine	unceasing, unremitting	G88	
αδιαλειπτος	ἀδιάλειπτος	adjective	nominative singular feminine	unceasing, unremitting	G88	
αδιαλειπτως	ἀδιαλείπτως	adverb	adverb	unceasingly	G89	
αδικεισθε	ἀδικέω	verb	present passive indicative, 2nd person plural	I act unjustly towards	G91	
αδικειτε	ἀδικέω	verb	present active indicative, 2nd person plural	I act unjustly towards	G91	
αδικηθεντος	ἀδικέω	verb	aorist passive participle, genitive singular masculine	I act unjustly towards	G91	
αδικηθη	ἀδικέω	verb	aorist passive subjunctive, 3rd person singular	I act unjustly towards	G91	
αδικημα	ἀδίκημα	noun	accusative singular neuter	a crime, misdeed	G92	ἀδίκημα|noun|nominative singular neuter
αδικηματα	ἀδίκημα	noun	accusative plural neuter	a crime, misdeed	G92	
αδικησαι	ἀδικέω	verb	aorist active infinitive	I act unjustly towards	G91	
αδικησαντος	ἀδικέω	verb	aorist active participle, genitive singular masculine	I act unjustly towards	G91	
αδικησατω	ἀδικέω	verb	aorist active imperative, 3rd person singular	I act unjustly towards	G91	
αδικηση	ἀδικέω	verb	aorist active subjunctive, 3rd person singular	I act unjustly towards	G91	
αδικησης	ἀδικέω	verb	aorist active subjunctive, 2nd person singular	I act unjustly towards	G91	
αδικησητε	ἀδικέω	verb	aorist active subjunctive, 2nd person plural	I act unjustly towards	G91	
αδικησουσιν	ἀδικέω	verb	future active indicative, 3rd person plural	I act unjustly towards	G91	
αδικια	ἀδικία	noun	dative singular feminine	unrighteousness	G93	ἀδικία|noun|nominative singular feminine
αδικιαις	ἀδικία	noun	dative plural feminine	unrighteousness	G93	
αδικιαν	ἀδικία	noun	accusative singular feminine	unrighteousness	G93	
αδικιας	ἀδικία	noun	genitive singular feminine	unrighteousness	G93	
αδικοι	ἄδικος	adjective	nominative plural masculine	unjust, unrighteous	G94	
αδικος	ἄδικος	adjective	nominative singular masculine	unjust, unrighteous	G94	
αδικουμενοι	ἀδικέω	verb	present middle participle, nominative plural masculine	I act unjustly towards	G91	
αδικουμενον	ἀδικέω	verb	present passive participle, accusative singular masculine	I act unjustly towards	G91	
αδικους	ἄδικος	adjective	accusative plural masculine	unjust, unrighteous	G94	
αδικουσιν	ἀδικέω	verb	present active indicative, 3rd person plural	I act unjustly towards	G91	
αδικω	ἀδικέω	verb	present active indicative, 1st person singular	I act unjustly towards	G91	ἄδικος|adjective|dative singular masculine
αδικων	ἄδικος	adjective	genitive plural masculine	unjust, unrighteous	G94	ἀδικέω|verb|present active participle, nominative singular masculine
αδικως	ἀδίκως	adverb	adverb	unjustly	G95	
αδμιν	Ἀδμίν	noun	genitive singular masculine			
αδοκιμοι	ἀδόκιμος	adjective	nominative plural masculine	failing to pass the test	G96	
αδοκιμον	ἀδόκιμος	adjective	accusative singular masculine	failing to pass the test	G96	
αδοκιμος	ἀδόκιμος	adjective	nominative singular feminine	failing to pass the test	G96	ἀδόκιμος|adjective|nominative singular masculine
αδολον	ἄδολος	adjective	accusative singular neuter	pure	G97	
αδοντες	ᾄδω	verb	present active participle, nominative plural masculine	I sing	G103	
αδου	ᾅδης	noun	genitive singular masculine	Hades	G86	
αδουσιν	ᾄδω	verb	present active indicative, 3rd person plural	I sing	G103	
αδραμυττηνω	Ἀδραμυττηνός	adjective	dative singular neuter	belonging to Adramyttium	G98	
αδρια	Ἀδρίας	noun	dative singular masculine	the Adriatic Sea	G99	
αδροτητι	ἁδρότης	noun	dative singular feminine	lavishness	G100	
αδυνατα	ἀδύνατος	adjective	nominative plural neuter	incapable, impossible	G102	
αδυνατησει	ἀδυνατέω	verb	future active indicative, 3rd person singular	to be impossible	G101	
αδυνατον	ἀδύνατος	adjective	nominative singular neuter	incapable, impossible	G102	ἀδύνατος|adjective|accusative singular neuter
αδυνατος	ἀδύνατος	adjective	nominative singular masculine	incapable, impossible	G102	
αδυνατων	ἀδύνατος	adjective	genitive plural masculine	incapable, impossible	G102	
αει	ἀεί	adverb	adverb	always	G104	
αερα	ἀήρ	noun	accusative singular masculine	air	G109	
